,dim,duration,latency,bandwidth,mode
0,12000,0.11393199999999999,5.6999999999999996e-05,210651470.480238,1
1,27000,0.12274000000000002,6.1e-05,439953661.7990981,1
2,48000,0.128358,6.4e-05,747906819.1619589,1
3,75000,0.133939,6.7e-05,1119911098.769193,1
4,108000,0.137521,6.9e-05,1570666397.2489018,1
5,147000,0.145422,7.3e-05,2021706943.6762762,1
6,192000,0.156908,7.8e-05,2447287810.4915147,1
7,243000,0.16506300000000002,8.3e-05,2944334663.304245,1
8,300000,0.17866700000000002,8.9e-05,3358200039.703999,1
9,363000,0.186336,9.300000000000001e-05,3896190292.252268,1
10,432000,0.19787000000000002,9.9e-05,4366504407.228126,1
11,507000,0.21156599999999998,0.000106,4792839939.546311,1
12,588000,0.225927,0.000113,5205220395.206093,1
13,675000,0.24701199999999998,0.000124,5465326589.6385145,1
14,768000,0.254183,0.000127,6042896301.971711,1
15,867000,0.27141,0.000136,6388860586.06455,1
16,972000,0.290691,0.000145,6687515546.796607,1
17,1083000,0.318775,0.00015900000000000002,6794765010.627989,1
18,1200000,0.332416,0.000166,7219870100.518311,1
