max_i,latency,bandwidth
10,0.000039,304199392.764777
20,0.000044,1100295650.587454
40,0.000059,3245102325.090464
80,0.000112,6848890830.379010
160,0.000349,8799935658.491272
320,0.001119,10979682356.475941
640,0.004163,11806041701.367895
