max_i,duration,latency,bandwidth,direction
10,0.106181,0.000053,226028591.844604,2
20,0.120132,0.000060,799120913.720180,2
40,0.144224,0.000072,2662520050.544061,2
80,0.241184,0.000121,6368570863.964926,2
160,0.803518,0.000402,7646371259.202030,2
320,2.722141,0.001361,9028188143.611574,2
640,11.247306,0.005624,8740226486.279173,2
