max_i,latency,bandwidth
10,0.000093,129594819.421175
20,0.000105,458586270.531821
40,0.000150,1276511748.680048
80,0.000273,2817965887.209352
160,0.000848,3622465484.523599
320,0.003109,3952140693.530188
640,0.013530,3632858096.816575
