max_i,duration,latency,bandwidth,direction
10,0.176037,0.000088,136334602.515699,1
20,0.202899,0.000101,473142840.177307,1
40,0.279046,0.000140,1376116804.794391,1
80,0.520652,0.000260,2950147706.846826,1
160,1.634931,0.000817,3757957123.276262,1

