max_i,latency,bandwidth
10,0.000059,202017807.735073
20,0.000068,709290252.698395
40,0.000082,2353445898.323782
80,0.000132,5831689070.375913
160,0.000447,6867486679.375623
320,0.001439,8539596184.220715
640,0.005927,8293309709.931513
