max_i,latency,bandwidth
10,0.000053,224880781.561912
20,0.000060,795604273.130881
40,0.000073,2631114247.009499
80,0.000121,6334095400.062393
160,0.000405,7582074063.624590
320,0.001414,8688246751.909416
640,0.005845,8409797301.958844
