max_i,latency,bandwidth
10,0.000088,135965409.130907
20,0.000102,472555551.230907
40,0.000141,1363052942.126348
80,0.000258,2978313532.172874
160,0.000827,3716830691.209657
320,0.003069,4003636486.599613
640,0.013575,3620798813.318490
