max_i,latency,bandwidth
10,0.000034,355918534.459165
20,0.000037,1287973552.321752
40,0.000050,3876870824.905430
80,0.000104,7405272213.443434
160,0.000319,9632843118.406939
320,0.001078,11402078314.659918
640,0.004027,12204511793.726007
40,0.107921,0.000054,3558142160.177201,0
