max_i,latency,bandwidth
10,0.000049,242701265.080344
20,0.000057,835376874.011384
40,0.000063,3064733688.050718
80,0.000097,7911779537.439045
160,0.000325,9459757557.006771
320,0.001063,11559967331.709181
640,0.004587,10715535718.414242
