max_i,latency,bandwidth
10,0.000049,243302216.905934
20,0.000058,833511959.576893
40,0.000062,3072904294.275719
80,0.000098,7834298626.713757
160,0.000310,9924836614.800285
320,0.001009,12175661520.755472
640,0.004331,11348723309.645338
