max_i,latency,bandwidth
10,0.000089,134839676.804127
20,0.000150,320715486.316527
40,0.000345,556025789.107420
80,0.001152,666746998.393891
160,0.004238,724923560.816234
320,0.010940,1123190648.112841
640,0.013363,3678150838.150238
