max_i,latency,bandwidth
10,0.000117,102423011.364307
20,0.000132,363091132.788055
40,0.000174,1103539365.426069
80,0.000372,2064952125.355403
160,0.001225,2507015310.474299
320,0.002787,4408917014.641150
640,0.011947,4114341755.087303
